"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","fraud_label"
27014697,"Appartement Oud-Zuid, moderne inrichting",87202969,"Dario",NA,"Zuid",52.348316783028,4.85856659935746,"Entire home/apt",129,2,8,"2018-09-16",1.83,1,0,0
27017220,"Beautiful Place close to Vondelpark and centre",54829820,"Paul",NA,"Zuid",52.3511388373786,4.84951909027326,"Entire home/apt",227,5,0,"",NA,2,0,0
27017653,"Spacy room in Nice area",74743263,"Alan",NA,"De Baarsjes - Oud-West",52.3725143070792,4.85370457492134,"Private room",58,1,5,"2018-10-14",1.28,2,33,0
27020103,"Beautiful Modern Apartment near City Center",88134049,"Barney",NA,"Westerpark",52.3837229978449,4.87562928900713,"Entire home/apt",350,2,3,"2018-10-23",1.17,1,326,0
27020496,"Newly renovated apartment in Amsterdam",16694625,"Maria & Antonis",NA,"Oud-Noord",52.3838700434866,4.91285094209141,"Entire home/apt",240,3,5,"2018-08-26",1.26,1,0,0
27022236,"Apartment by Anne Frank house - heart of Amsterdam",2143417,"Marie",NA,"Centrum-West",52.3793998301434,4.88159271998341,"Entire home/apt",150,4,4,"2018-11-14",1.94,1,37,0
27023676,"Cosy & Typical Dutch 2P Apartment near Oosterpark",65859990,"Martijn",NA,"Oud-Oost",52.3570783756289,4.91830007773697,"Entire home/apt",100,2,6,"2018-11-18",1.58,208,19,0
27023736,"Amazing canal sight apartment",9414020,"Maureen",NA,"Centrum-Oost",52.3641973205243,4.90989741995219,"Entire home/apt",150,3,5,"2018-10-21",1.56,1,115,1
27023990,"Stylish & Quiet Amsterdam Flat by VONDELPARK",3491218,"Lacyn",NA,"De Baarsjes - Oud-West",52.3598958695917,4.86286818786303,"Entire home/apt",112,1,3,"2018-11-11",0.82,1,18,0
27024242,"B&B Studio Old South",6305400,"Erik",NA,"Zuid",52.3527314218755,4.86100942453538,"Private room",200,3,3,"2018-12-03",1.29,1,50,0
27024861,"Stylish home with garden in great central location",136369169,"Albert",NA,"De Pijp - Rivierenbuurt",52.3514533257087,4.89457273931559,"Entire home/apt",350,3,3,"2018-11-18",0.95,1,0,0
27025748,"Modern & Light City Apartment || Amsterdam Noord",65859990,"Martijn",NA,"Oud-Noord",52.3857579046394,4.91740220721986,"Entire home/apt",175,2,2,"2018-08-20",0.53,208,0,0
